track_number,composer,title,movement,performer,source,source_page,download_url,license,format,quality,filename,status
35,Schubert,Serenade (Ständchen),,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,35 - Schubert - Serenade (Standchen).flac,no_direct_url
36,Schubert,Ave Maria,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,36 - Schubert - Ave Maria.flac,no_direct_url
37,Bizet,Carmen,Habanera,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,37 - Bizet - Carmen - Habanera.mp3,no_direct_url
38,Bizet,Carmen,Toreador Song,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,38 - Bizet - Carmen - Toreador Song.mp3,no_direct_url
39,Verdi,La Traviata,Libiamo ne' lieti calici,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,39 - Verdi - La Traviata - Libiamo ne lieti calici.mp3,no_direct_url
40,Verdi,Requiem,Dies Irae,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,40 - Verdi - Requiem - Dies Irae.mp3,no_direct_url
41,Puccini,O mio babbino caro,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,41 - Puccini - O mio babbino caro.mp3,no_direct_url
42,Puccini,E lucevan le stelle,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,42 - Puccini - E lucevan le stelle.mp3,no_direct_url
43,Puccini,Un bel dì vedremo,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,43 - Puccini - Un bel di vedremo.mp3,no_direct_url
44,Mascagni,Cavalleria Rusticana,Intermezzo,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,44 - Mascagni - Cavalleria Rusticana - Intermezzo.flac,no_direct_url
45,Offenbach,Les Contes d'Hoffmann,Barcarolle,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,45 - Offenbach - Les Contes d Hoffmann - Barcarolle.mp3,no_direct_url
46,Fauré,Requiem,In Paradisum,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,46 - Faure - Requiem - In Paradisum.flac,no_direct_url
47,Händel,Sarabande,,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,47 - Handel - Sarabande.flac,no_direct_url
48,Händel,Messiah,Hallelujah,,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,MP3,,48 - Handel - Messiah - Hallelujah.mp3,no_direct_url
49,Holst,The Planets,"Mars, the Bringer of War",,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,49 - Holst - The Planets - Mars the Bringer of War.flac,no_direct_url
50,Holst,The Planets,"Jupiter, the Bringer of Jollity",,Musopen,https://musopen.org/music/,,Musopen catalog; recording license not yet verified,FLAC,,50 - Holst - The Planets - Jupiter the Bringer of Jollity.flac,no_direct_url
